id,text,word_count,avg_word_length,sentence_count,complexity_score,target
39,The document contains moderately complex vocabulary. Sample 39,225,8.01,6,0.379,4.882
40,The article uses highly technical terminology and advanced concepts. Sample 40,252,4.93,18,0.662,0.893
41,The document contains moderately complex vocabulary. Sample 41,171,4.59,2,0.579,1.338
42,The story is engaging and suitable for young readers. Sample 42,180,3.79,19,0.477,4.355
43,The research manuscript presents sophisticated theoretical arguments. Sample 43,100,3.78,17,0.08,-1.513
44,The research manuscript presents sophisticated theoretical arguments. Sample 44,54,6.88,8,0.404,4.533
45,The research manuscript presents sophisticated theoretical arguments. Sample 45,146,6.39,2,0.619,0.354
46,The research manuscript presents sophisticated theoretical arguments. Sample 46,287,5.08,9,0.204,2.73
47,The document contains moderately complex vocabulary. Sample 47,155,5.48,10,0.457,4.432
48,This passage is easy to read and understand. Sample 48,24,5.79,19,0.996,-2.414
49,The document contains moderately complex vocabulary. Sample 49,279,4.83,12,0.881,4.034
50,The article uses highly technical terminology and advanced concepts. Sample 50,165,4.29,18,0.704,1.893
51,The story is engaging and suitable for young readers. Sample 51,290,3.54,18,0.299,2.307
52,The document contains moderately complex vocabulary. Sample 52,155,4.08,4,0.742,-1.756
53,The article uses highly technical terminology and advanced concepts. Sample 53,127,7.09,7,0.687,3.823
54,The research manuscript presents sophisticated theoretical arguments. Sample 54,270,4.76,2,0.092,0.389
55,The article uses highly technical terminology and advanced concepts. Sample 55,42,3.52,5,0.637,-0.904
56,The story is engaging and suitable for young readers. Sample 56,246,6.26,14,0.561,-2.105
57,The story is engaging and suitable for young readers. Sample 57,96,6.23,12,0.583,-1.815
58,The document contains moderately complex vocabulary. Sample 58,41,5.04,2,0.899,-1.319
59,The document contains moderately complex vocabulary. Sample 59,72,5.27,18,0.884,0.251
60,The research manuscript presents sophisticated theoretical arguments. Sample 60,99,8.13,8,0.865,4.81
61,The document contains moderately complex vocabulary. Sample 61,231,3.62,11,0.782,0.294
62,The story is engaging and suitable for young readers. Sample 62,147,4.83,4,0.383,-2.69
63,The tutorial is beginner friendly and clearly written. Sample 63,133,4.5,15,0.35,3.564
64,The document contains moderately complex vocabulary. Sample 64,134,3.62,7,0.398,-0.771
65,This passage is easy to read and understand. Sample 65,162,5.26,17,0.4,4.849
66,The research manuscript presents sophisticated theoretical arguments. Sample 66,189,8.2,4,0.877,-0.91
67,The research manuscript presents sophisticated theoretical arguments. Sample 67,155,3.69,20,0.435,2.828
68,The article uses highly technical terminology and advanced concepts. Sample 68,243,6.53,17,0.116,4.196
69,The document contains moderately complex vocabulary. Sample 69,150,3.72,14,0.002,4.405
70,The research manuscript presents sophisticated theoretical arguments. Sample 70,120,5.32,3,0.949,4.366
71,The research manuscript presents sophisticated theoretical arguments. Sample 71,180,6.82,4,0.72,-0.597
72,The article uses highly technical terminology and advanced concepts. Sample 72,229,5.13,10,0.554,-1.465
73,The story is engaging and suitable for young readers. Sample 73,214,6.89,6,0.616,-0.592
74,The research manuscript presents sophisticated theoretical arguments. Sample 74,20,5.02,7,0.43,1.64
75,The story is engaging and suitable for young readers. Sample 75,184,5.82,15,0.676,1.089
76,The story is engaging and suitable for young readers. Sample 76,106,6.79,10,0.515,2.064
77,The article uses highly technical terminology and advanced concepts. Sample 77,67,7.59,8,0.673,-1.203
78,The document contains moderately complex vocabulary. Sample 78,95,3.62,8,0.984,1.89
79,This passage is easy to read and understand. Sample 79,253,5.57,19,0.194,2.571
80,The tutorial is beginner friendly and clearly written. Sample 80,224,4.72,1,0.893,3.884
81,This passage is easy to read and understand. Sample 81,237,4.59,17,0.465,1.459
82,This passage is easy to read and understand. Sample 82,253,4.17,15,0.668,4.903
83,The research manuscript presents sophisticated theoretical arguments. Sample 83,182,8.25,15,0.613,2.754
84,The research manuscript presents sophisticated theoretical arguments. Sample 84,238,7.65,18,0.446,-1.727
85,The tutorial is beginner friendly and clearly written. Sample 85,250,4.8,8,0.84,-0.782
86,The research manuscript presents sophisticated theoretical arguments. Sample 86,268,6.63,9,0.44,2.708
87,The document contains moderately complex vocabulary. Sample 87,159,5.18,18,0.081,-1.793
88,The tutorial is beginner friendly and clearly written. Sample 88,98,7.03,3,0.415,-0.353
89,The tutorial is beginner friendly and clearly written. Sample 89,232,3.81,14,0.389,3.158
90,The story is engaging and suitable for young readers. Sample 90,30,7.78,19,0.38,-2.953
91,The article uses highly technical terminology and advanced concepts. Sample 91,172,7.27,14,0.538,2.877
92,The research manuscript presents sophisticated theoretical arguments. Sample 92,132,5.94,9,0.436,-2.768
93,The article uses highly technical terminology and advanced concepts. Sample 93,227,7.12,15,0.92,4.846
94,The research manuscript presents sophisticated theoretical arguments. Sample 94,33,8.03,19,0.564,-2.783
95,The story is engaging and suitable for young readers. Sample 95,239,4.18,15,0.182,-0.919
96,The article uses highly technical terminology and advanced concepts. Sample 96,128,5.77,11,0.761,0.033
97,The tutorial is beginner friendly and clearly written. Sample 97,149,7.67,16,0.019,1.315
98,The article uses highly technical terminology and advanced concepts. Sample 98,134,6.75,2,0.754,4.597
99,The document contains moderately complex vocabulary. Sample 99,30,6.61,8,0.126,2.356
100,The research manuscript presents sophisticated theoretical arguments. Sample 100,131,5.83,9,0.767,-1.658
101,The research manuscript presents sophisticated theoretical arguments. Sample 101,78,7.39,6,0.965,-2.135
102,This passage is easy to read and understand. Sample 102,179,6.38,13,0.397,2.72
103,This passage is easy to read and understand. Sample 103,144,4.01,10,0.85,1.803
104,This passage is easy to read and understand. Sample 104,41,5.24,14,0.662,-2.448
105,The story is engaging and suitable for young readers. Sample 105,194,3.56,14,0.822,-2.156
106,The article uses highly technical terminology and advanced concepts. Sample 106,255,7.04,14,0.176,1.174
107,The story is engaging and suitable for young readers. Sample 107,158,6.58,18,0.775,0.719
108,The story is engaging and suitable for young readers. Sample 108,157,5.11,8,0.831,-2.307
109,The tutorial is beginner friendly and clearly written. Sample 109,144,7.25,19,0.61,0.032
110,This passage is easy to read and understand. Sample 110,273,7.75,6,0.488,-0.161
111,The article uses highly technical terminology and advanced concepts. Sample 111,194,4.9,20,0.701,-0.79
112,This passage is easy to read and understand. Sample 112,284,8.24,3,0.241,0.251
113,The research manuscript presents sophisticated theoretical arguments. Sample 113,143,6.95,16,0.448,-2.862
114,The article uses highly technical terminology and advanced concepts. Sample 114,133,5.52,8,0.306,1.652
115,The tutorial is beginner friendly and clearly written. Sample 115,291,5.22,18,0.331,2.623
116,The article uses highly technical terminology and advanced concepts. Sample 116,176,4.76,4,0.721,-0.476
117,The story is engaging and suitable for young readers. Sample 117,294,8.25,6,0.192,2.909
118,The article uses highly technical terminology and advanced concepts. Sample 118,288,6.48,4,0.833,-0.63
119,The article uses highly technical terminology and advanced concepts. Sample 119,111,5.01,18,0.127,-2.636
120,This passage is easy to read and understand. Sample 120,169,6.99,5,0.638,3.022
121,This passage is easy to read and understand. Sample 121,26,6.37,16,0.479,-0.274
122,This passage is easy to read and understand. Sample 122,149,8.21,16,0.114,-2.477
123,The tutorial is beginner friendly and clearly written. Sample 123,57,6.39,2,0.152,3.489
124,The article uses highly technical terminology and advanced concepts. Sample 124,63,8.47,4,0.558,0.329
125,The research manuscript presents sophisticated theoretical arguments. Sample 125,135,7.38,13,0.451,0.542
126,The research manuscript presents sophisticated theoretical arguments. Sample 126,239,5.03,20,0.06,4.681
127,This passage is easy to read and understand. Sample 127,126,6.63,9,0.66,-1.744
128,The document contains moderately complex vocabulary. Sample 128,58,4.28,14,0.451,1.75
129,The article uses highly technical terminology and advanced concepts. Sample 129,36,4.66,10,0.703,0.632
130,The story is engaging and suitable for young readers. Sample 130,139,8.12,19,0.661,4.469
131,The tutorial is beginner friendly and clearly written. Sample 131,78,6.22,5,0.908,3.613
132,This passage is easy to read and understand. Sample 132,50,4.33,10,0.595,3.594
133,The article uses highly technical terminology and advanced concepts. Sample 133,244,4.12,10,0.7,4.541
134,The research manuscript presents sophisticated theoretical arguments. Sample 134,296,5.97,3,0.598,4.115
135,The story is engaging and suitable for young readers. Sample 135,185,6.52,1,0.091,4.695
136,The research manuscript presents sophisticated theoretical arguments. Sample 136,30,8.5,9,0.576,3.105
137,The document contains moderately complex vocabulary. Sample 137,260,6.09,15,0.916,-1.548
138,The research manuscript presents sophisticated theoretical arguments. Sample 138,243,6.67,16,0.969,0.76
139,The tutorial is beginner friendly and clearly written. Sample 139,190,5.11,4,0.858,-0.362
140,The story is engaging and suitable for young readers. Sample 140,273,4.94,13,0.814,1.401
141,The tutorial is beginner friendly and clearly written. Sample 141,65,5.07,11,0.116,3.18
142,The research manuscript presents sophisticated theoretical arguments. Sample 142,20,6.79,18,0.462,-2.566
143,The research manuscript presents sophisticated theoretical arguments. Sample 143,205,6.61,16,0.625,3.08
144,The document contains moderately complex vocabulary. Sample 144,156,6.25,10,0.438,2.586
145,This passage is easy to read and understand. Sample 145,34,8.37,20,0.799,2.678
146,The article uses highly technical terminology and advanced concepts. Sample 146,27,6.26,3,0.225,3.731
147,This passage is easy to read and understand. Sample 147,256,8.24,5,0.498,2.733
148,The research manuscript presents sophisticated theoretical arguments. Sample 148,159,5.58,16,0.98,-1.05
149,The research manuscript presents sophisticated theoretical arguments. Sample 149,94,5.42,20,0.508,4.035
150,This passage is easy to read and understand. Sample 150,161,7.36,14,0.34,3.302
151,The article uses highly technical terminology and advanced concepts. Sample 151,21,4.91,10,0.837,1.639
152,The story is engaging and suitable for young readers. Sample 152,270,7.83,15,0.539,-0.239
153,The research manuscript presents sophisticated theoretical arguments. Sample 153,298,5.39,11,0.87,4.846
154,The document contains moderately complex vocabulary. Sample 154,216,4.67,14,0.044,2.958
155,The story is engaging and suitable for young readers. Sample 155,215,5.43,5,0.495,-2.704
156,The research manuscript presents sophisticated theoretical arguments. Sample 156,189,7.85,15,0.1,4.284
157,This passage is easy to read and understand. Sample 157,93,5.55,5,0.075,3.252
158,The article uses highly technical terminology and advanced concepts. Sample 158,193,6.62,13,0.65,3.814
159,The story is engaging and suitable for young readers. Sample 159,293,5.4,11,0.627,4.1
160,The tutorial is beginner friendly and clearly written. Sample 160,297,3.68,3,0.235,2.475
161,The article uses highly technical terminology and advanced concepts. Sample 161,136,7.23,14,0.978,3.083
162,The story is engaging and suitable for young readers. Sample 162,71,5.72,10,0.903,-2.632
163,This passage is easy to read and understand. Sample 163,170,5.29,14,0.146,1.249
164,The research manuscript presents sophisticated theoretical arguments. Sample 164,112,4.35,3,0.609,0.06
165,The story is engaging and suitable for young readers. Sample 165,143,5.99,19,0.143,0.689
166,The article uses highly technical terminology and advanced concepts. Sample 166,255,4.78,1,0.899,0.722
167,The article uses highly technical terminology and advanced concepts. Sample 167,299,4.29,15,0.945,4.901
168,The article uses highly technical terminology and advanced concepts. Sample 168,237,6.95,15,0.845,-1.406
169,The tutorial is beginner friendly and clearly written. Sample 169,267,4.03,13,0.572,1.598
170,The story is engaging and suitable for young readers. Sample 170,171,3.61,13,0.274,1.527
171,The story is engaging and suitable for young readers. Sample 171,45,8.05,16,0.833,4.223
172,The document contains moderately complex vocabulary. Sample 172,200,4.6,7,0.621,2.422
173,The story is engaging and suitable for young readers. Sample 173,90,6.64,2,0.309,0.527
174,The research manuscript presents sophisticated theoretical arguments. Sample 174,206,7.16,3,0.91,-0.386
175,The tutorial is beginner friendly and clearly written. Sample 175,109,4.5,18,0.876,-0.073
176,The research manuscript presents sophisticated theoretical arguments. Sample 176,159,7.65,9,0.914,4.554
177,The article uses highly technical terminology and advanced concepts. Sample 177,193,7.52,15,0.963,-1.874
178,The document contains moderately complex vocabulary. Sample 178,223,8.34,18,0.366,3.325
179,This passage is easy to read and understand. Sample 179,155,6.18,15,0.369,2.992
180,The article uses highly technical terminology and advanced concepts. Sample 180,215,7.61,12,0.108,-1.129
181,This passage is easy to read and understand. Sample 181,187,8.08,8,0.648,2.083
182,The tutorial is beginner friendly and clearly written. Sample 182,174,6.75,4,0.14,4.57
183,The article uses highly technical terminology and advanced concepts. Sample 183,272,4.08,8,0.887,-1.915
184,The tutorial is beginner friendly and clearly written. Sample 184,209,6.85,18,0.419,2.938
185,The document contains moderately complex vocabulary. Sample 185,232,6.77,16,0.616,4.512
186,The article uses highly technical terminology and advanced concepts. Sample 186,36,6.95,7,0.443,4.604
187,The article uses highly technical terminology and advanced concepts. Sample 187,70,8.4,12,0.544,4.823
188,The article uses highly technical terminology and advanced concepts. Sample 188,51,5.49,7,0.968,4.592
189,The tutorial is beginner friendly and clearly written. Sample 189,66,6.81,20,0.971,-2.595
190,The article uses highly technical terminology and advanced concepts. Sample 190,144,8.44,19,0.205,3.639
191,The research manuscript presents sophisticated theoretical arguments. Sample 191,126,6.43,8,0.329,-1.82
192,The research manuscript presents sophisticated theoretical arguments. Sample 192,21,4.89,5,0.988,1.322
193,The document contains moderately complex vocabulary. Sample 193,76,6.81,1,0.132,-0.134
194,The document contains moderately complex vocabulary. Sample 194,185,3.58,9,0.052,2.934
195,The research manuscript presents sophisticated theoretical arguments. Sample 195,78,7.23,16,0.448,-0.104
196,The research manuscript presents sophisticated theoretical arguments. Sample 196,75,5.76,8,0.945,-2.653
197,The story is engaging and suitable for young readers. Sample 197,286,5.01,1,0.061,0.832
198,The tutorial is beginner friendly and clearly written. Sample 198,238,6.93,16,0.712,0.548
199,This passage is easy to read and understand. Sample 199,184,6.54,3,0.126,1.995
200,The research manuscript presents sophisticated theoretical arguments. Sample 200,300,7.06,13,0.995,1.244
201,The tutorial is beginner friendly and clearly written. Sample 201,278,6.53,4,0.793,-2.085
202,The story is engaging and suitable for young readers. Sample 202,130,5.65,8,0.414,3.619
203,The tutorial is beginner friendly and clearly written. Sample 203,232,7.15,11,0.427,2.321
204,The article uses highly technical terminology and advanced concepts. Sample 204,98,6.93,16,0.067,3.654
205,This passage is easy to read and understand. Sample 205,241,3.98,12,0.812,1.451
206,The research manuscript presents sophisticated theoretical arguments. Sample 206,188,6.85,14,0.354,2.323
207,The tutorial is beginner friendly and clearly written. Sample 207,46,8.34,20,0.312,-2.171
208,The research manuscript presents sophisticated theoretical arguments. Sample 208,128,4.27,16,0.224,-2.134
209,The research manuscript presents sophisticated theoretical arguments. Sample 209,208,4.07,9,0.574,3.458
210,The research manuscript presents sophisticated theoretical arguments. Sample 210,33,6.54,9,0.029,-0.814
211,The article uses highly technical terminology and advanced concepts. Sample 211,193,5.26,6,0.87,1.531
212,The tutorial is beginner friendly and clearly written. Sample 212,55,4.21,1,0.092,1.244
213,The tutorial is beginner friendly and clearly written. Sample 213,234,5.77,6,0.37,2.773
214,The research manuscript presents sophisticated theoretical arguments. Sample 214,63,7.92,5,0.157,1.943
215,The story is engaging and suitable for young readers. Sample 215,61,4.86,14,0.486,0.536
216,The article uses highly technical terminology and advanced concepts. Sample 216,130,7.27,4,0.345,-2.113
217,The story is engaging and suitable for young readers. Sample 217,269,6.13,10,0.045,0.162
218,The research manuscript presents sophisticated theoretical arguments. Sample 218,48,3.54,10,0.945,3.139
219,The article uses highly technical terminology and advanced concepts. Sample 219,168,5.14,1,0.497,0.445
220,The document contains moderately complex vocabulary. Sample 220,214,6.16,8,0.5,3.667
221,The article uses highly technical terminology and advanced concepts. Sample 221,56,5.49,2,0.436,0.678
222,This passage is easy to read and understand. Sample 222,180,6.38,19,0.404,2.121
223,The article uses highly technical terminology and advanced concepts. Sample 223,78,5.53,11,0.172,4.581
224,The tutorial is beginner friendly and clearly written. Sample 224,205,3.94,4,0.243,1.711
225,The research manuscript presents sophisticated theoretical arguments. Sample 225,60,5.48,10,0.746,-1.227
226,The document contains moderately complex vocabulary. Sample 226,59,6.05,4,0.531,-1.449
227,The article uses highly technical terminology and advanced concepts. Sample 227,199,7.14,5,0.236,-1.828
228,The document contains moderately complex vocabulary. Sample 228,108,6.51,3,0.177,3.183
229,The tutorial is beginner friendly and clearly written. Sample 229,257,7.27,19,0.449,4.393
230,The research manuscript presents sophisticated theoretical arguments. Sample 230,185,7.82,11,0.151,-2.454
231,The tutorial is beginner friendly and clearly written. Sample 231,175,7.48,19,0.056,1.059
232,The article uses highly technical terminology and advanced concepts. Sample 232,256,5.76,2,0.369,-0.703
233,The story is engaging and suitable for young readers. Sample 233,66,6.58,17,0.384,1.643
234,The story is engaging and suitable for young readers. Sample 234,41,5.75,19,0.652,-0.428
235,The tutorial is beginner friendly and clearly written. Sample 235,276,4.25,2,0.451,3.488
236,The article uses highly technical terminology and advanced concepts. Sample 236,63,6.02,6,0.039,2.661
237,The tutorial is beginner friendly and clearly written. Sample 237,288,6.11,6,0.364,4.343
238,The tutorial is beginner friendly and clearly written. Sample 238,229,7.37,20,0.052,2.047
239,The article uses highly technical terminology and advanced concepts. Sample 239,53,5.15,18,0.678,-0.727
240,The story is engaging and suitable for young readers. Sample 240,96,5.17,19,0.664,4.334
241,The article uses highly technical terminology and advanced concepts. Sample 241,220,4.14,3,0.31,0.013
242,The article uses highly technical terminology and advanced concepts. Sample 242,85,6.85,17,0.093,2.364
243,The research manuscript presents sophisticated theoretical arguments. Sample 243,205,3.59,10,0.18,-1.286
244,The tutorial is beginner friendly and clearly written. Sample 244,118,4.63,5,0.155,-0.634
245,This passage is easy to read and understand. Sample 245,279,7.35,17,0.038,-0.306
246,The research manuscript presents sophisticated theoretical arguments. Sample 246,87,6.49,5,0.162,3.651
247,The research manuscript presents sophisticated theoretical arguments. Sample 247,104,7.11,2,0.411,2.411
248,The document contains moderately complex vocabulary. Sample 248,247,6.55,15,0.234,-1.087
249,The tutorial is beginner friendly and clearly written. Sample 249,119,5.34,19,0.984,0.693
250,The article uses highly technical terminology and advanced concepts. Sample 250,215,6.01,14,0.966,3.535
251,The research manuscript presents sophisticated theoretical arguments. Sample 251,90,7.87,2,0.641,3.993
252,The research manuscript presents sophisticated theoretical arguments. Sample 252,72,7.06,17,0.851,-0.719
253,The document contains moderately complex vocabulary. Sample 253,159,5.75,17,0.147,0.5
254,The document contains moderately complex vocabulary. Sample 254,250,7.92,1,0.415,0.172
255,The article uses highly technical terminology and advanced concepts. Sample 255,140,5.43,3,0.375,-2.774
256,This passage is easy to read and understand. Sample 256,191,7.46,5,0.038,4.339
257,The tutorial is beginner friendly and clearly written. Sample 257,91,7.29,16,0.449,-2.958
258,This passage is easy to read and understand. Sample 258,29,4.78,5,0.549,2.818
259,The research manuscript presents sophisticated theoretical arguments. Sample 259,236,4.06,10,0.238,-2.025
260,The document contains moderately complex vocabulary. Sample 260,234,6.69,20,0.457,-2.113
261,The tutorial is beginner friendly and clearly written. Sample 261,294,3.58,17,0.575,2.748
262,The article uses highly technical terminology and advanced concepts. Sample 262,239,3.51,12,0.241,0.333
263,The story is engaging and suitable for young readers. Sample 263,63,6.12,12,0.068,1.208
264,The research manuscript presents sophisticated theoretical arguments. Sample 264,279,6.27,13,0.873,-2.652
265,The tutorial is beginner friendly and clearly written. Sample 265,211,4.77,1,0.357,-2.46
266,The document contains moderately complex vocabulary. Sample 266,73,7.36,11,0.133,-0.182
267,The article uses highly technical terminology and advanced concepts. Sample 267,109,7.65,15,0.981,0.828
268,The document contains moderately complex vocabulary. Sample 268,89,3.82,15,0.037,-1.387
269,The document contains moderately complex vocabulary. Sample 269,41,5.08,10,0.515,4.913
270,The research manuscript presents sophisticated theoretical arguments. Sample 270,262,4.77,7,0.286,3.897
271,This passage is easy to read and understand. Sample 271,189,4.87,12,0.437,0.2
272,The tutorial is beginner friendly and clearly written. Sample 272,217,5.2,6,0.496,0.98
273,The research manuscript presents sophisticated theoretical arguments. Sample 273,156,7.51,14,0.079,1.82
274,The document contains moderately complex vocabulary. Sample 274,299,4.97,4,0.08,2.287
275,The article uses highly technical terminology and advanced concepts. Sample 275,248,6.51,14,0.167,0.551
276,The tutorial is beginner friendly and clearly written. Sample 276,41,7.13,12,0.615,0.48
277,The story is engaging and suitable for young readers. Sample 277,49,3.88,13,0.363,3.409
278,The story is engaging and suitable for young readers. Sample 278,101,8.26,5,0.849,2.425
279,The tutorial is beginner friendly and clearly written. Sample 279,37,4.13,8,0.779,-0.069
280,The tutorial is beginner friendly and clearly written. Sample 280,36,6.53,15,0.949,-0.024
281,This passage is easy to read and understand. Sample 281,90,6.15,13,0.314,-0.77
282,This passage is easy to read and understand. Sample 282,33,7.18,16,0.518,4.308
283,This passage is easy to read and understand. Sample 283,154,7.37,15,0.215,1.895
284,The story is engaging and suitable for young readers. Sample 284,271,4.5,5,0.853,0.616
285,The story is engaging and suitable for young readers. Sample 285,247,8.49,11,0.668,2.676
286,The research manuscript presents sophisticated theoretical arguments. Sample 286,297,4.95,10,0.851,2.694
287,The story is engaging and suitable for young readers. Sample 287,109,7.47,17,0.224,4.881
288,The document contains moderately complex vocabulary. Sample 288,141,7.45,1,0.361,1.578
289,The tutorial is beginner friendly and clearly written. Sample 289,86,6.56,3,0.066,0.185
290,The story is engaging and suitable for young readers. Sample 290,265,6.13,14,0.823,-2.41
291,The article uses highly technical terminology and advanced concepts. Sample 291,57,5.75,17,0.345,4.024
292,The research manuscript presents sophisticated theoretical arguments. Sample 292,113,7.34,5,0.433,4.286
293,This passage is easy to read and understand. Sample 293,83,6.09,10,0.165,-0.419
294,The story is engaging and suitable for young readers. Sample 294,135,5.23,17,0.895,3.767
295,The article uses highly technical terminology and advanced concepts. Sample 295,120,6.68,18,0.274,2.0
296,The research manuscript presents sophisticated theoretical arguments. Sample 296,293,3.97,6,0.592,1.645
297,The document contains moderately complex vocabulary. Sample 297,192,7.71,19,0.041,3.91
298,This passage is easy to read and understand. Sample 298,43,8.24,19,0.265,-1.314
299,The research manuscript presents sophisticated theoretical arguments. Sample 299,233,6.59,1,0.498,2.017
300,The article uses highly technical terminology and advanced concepts. Sample 300,174,5.91,13,0.297,-2.416
301,This passage is easy to read and understand. Sample 301,100,5.7,16,0.464,-0.278
302,The document contains moderately complex vocabulary. Sample 302,180,7.81,11,0.734,3.886
303,The tutorial is beginner friendly and clearly written. Sample 303,86,7.3,17,0.562,-0.447
304,The tutorial is beginner friendly and clearly written. Sample 304,82,4.84,8,0.141,-2.595
305,The tutorial is beginner friendly and clearly written. Sample 305,234,4.74,6,0.813,4.47
306,The story is engaging and suitable for young readers. Sample 306,180,4.45,6,0.498,1.118
307,The tutorial is beginner friendly and clearly written. Sample 307,177,5.99,3,0.945,1.044
308,The document contains moderately complex vocabulary. Sample 308,130,6.42,2,0.051,0.959
309,The story is engaging and suitable for young readers. Sample 309,260,4.93,1,0.847,0.447
310,The article uses highly technical terminology and advanced concepts. Sample 310,207,7.32,12,0.045,-2.591
311,The research manuscript presents sophisticated theoretical arguments. Sample 311,119,5.31,10,0.074,1.034
312,The research manuscript presents sophisticated theoretical arguments. Sample 312,163,7.63,20,0.68,-2.05
313,This passage is easy to read and understand. Sample 313,221,5.37,11,0.558,-0.075
314,The document contains moderately complex vocabulary. Sample 314,121,6.51,13,0.5,-2.638
315,The document contains moderately complex vocabulary. Sample 315,190,7.52,17,0.457,1.85
316,The research manuscript presents sophisticated theoretical arguments. Sample 316,91,5.14,20,0.319,0.144
317,The research manuscript presents sophisticated theoretical arguments. Sample 317,173,6.47,17,0.828,1.259
318,The story is engaging and suitable for young readers. Sample 318,173,5.87,1,0.368,2.39
319,The tutorial is beginner friendly and clearly written. Sample 319,177,7.48,1,0.597,-0.876
320,The story is engaging and suitable for young readers. Sample 320,136,7.11,19,0.48,1.194
321,The story is engaging and suitable for young readers. Sample 321,214,4.24,8,0.032,4.586
322,This passage is easy to read and understand. Sample 322,117,3.59,11,0.419,0.304
323,The document contains moderately complex vocabulary. Sample 323,230,6.01,20,0.921,3.983
324,The story is engaging and suitable for young readers. Sample 324,51,7.03,17,0.207,-0.4
325,The story is engaging and suitable for young readers. Sample 325,264,6.13,11,0.957,0.677
326,The research manuscript presents sophisticated theoretical arguments. Sample 326,195,6.23,9,0.61,-1.462
327,The document contains moderately complex vocabulary. Sample 327,162,6.29,8,0.941,4.858
328,The article uses highly technical terminology and advanced concepts. Sample 328,126,6.95,16,0.317,-0.21
329,The story is engaging and suitable for young readers. Sample 329,160,4.94,19,0.677,0.038
330,The tutorial is beginner friendly and clearly written. Sample 330,196,8.27,5,0.29,-0.699
331,The story is engaging and suitable for young readers. Sample 331,60,5.23,15,0.656,2.979
332,The document contains moderately complex vocabulary. Sample 332,123,7.64,9,0.933,2.569
333,The document contains moderately complex vocabulary. Sample 333,75,6.58,19,0.239,-2.594
334,The research manuscript presents sophisticated theoretical arguments. Sample 334,135,6.69,2,0.1,-0.358
335,The tutorial is beginner friendly and clearly written. Sample 335,71,6.91,5,0.005,1.403
336,The document contains moderately complex vocabulary. Sample 336,228,6.76,16,0.477,-1.404
